annotation,concept,label
"Психологический роман о характере человека, внутреннем конфликте, разочаровании и выборе.","внутренний_конфликт",1
"Психологический роман о характере человека, внутреннем конфликте, разочаровании и выборе.","разочарование",1
"Психологический роман о характере человека, внутреннем конфликте, разочаровании и выборе.","любовь",0
"Психологический роман о характере человека, внутреннем конфликте, разочаровании и выборе.","война",0
"Душещипательная история о любви и трагической развязке.","любовь",1
"Душещипательная история о любви и трагической развязке.","несчастная_любовь",1
"Душещипательная история о любви и трагической развязке.","война",0
"Душещипательная история о любви и трагической развязке.","революция",0

"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","вина",1
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","совесть",1
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","искупление",1
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","ответственность",1
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","духовное_возрождение",1
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","нравственный_выбор",1

"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","прощение",0
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","страдание",0
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","самоанализ",0
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","грех",0
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","закон",0
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.","суд",1
