annotation,concept,label
"«Дворянское гнездо» — поэтичная история несбывшейся любви, разбитых надежд и судьбы умного человека, совершившего трагическую ошибку и расплачивающегося за нее всю жизнь.",несчастная_любовь,1
"Столько литературных героев за последние два века потеряли актуальность и были отправлены в книжное небытие, а «лишний человек» Печорин, холодный циник, не верящий в высокие идеалы, живущий «не сердцем, а головою», эгоистичный прожигатель жизни, бросающий женщин и бесстрашно испытывающий судьбу, до сих пор живее всех живых. Это личность противоречивая и неоднозначная, ведь Лермонтов написал первый в русской прозе психологический роман. Попробуйте разобраться беспристрастно — согласны ли вы с критиками, писавшими, что такой развратный герой — оскорбление для России, или вы на стороне Белинского, уверенного, что Лермонтов показал трагедию образованных людей того (а может быть, и нашего?) времени?",внутренний_конфликт,1
"Знаковый роман, с которого официально отсчитывают само существование жанра \антиутопия Запрещенный в советский период, теперь он считается одним из классических произведений не только русской, но и мировой литературы ХХ века. Роман об \обществе равных, в котором человеческая личность сведена к \нумеру. В нем унифицировано все — одежда и квартиры, мысли и чувства. Нет ни семьи, ни прочных привязанностей Знаковый роман, с которого официально отсчитывают само существование жанра \антиутопия Запрещенный в советский период, теперь он считается одним из классических произведений не только русской, но и мировой литературы ХХ века. Роман об \обществе равных, в котором человеческая личность сведена к \нумеру. В нем унифицировано все — одежда и квартиры, мысли и чувства. Нет ни семьи, ни прочных привязанностей... Но можно ли вытравить из человека жажду свободы, пока он остается человеком? Но можно ли вытравить из человека жажду свободы, пока он остается человеком?",индивидуализм,0
"Поэма \Мертвые души еще при жизни автора была переведена на множество других языков. Она имела невероятный успех. Никому до Гоголя и после него не удавалось так ярко и остро описать пороки и слабости русского человека, так живо и правдиво отразить важнейшие для России проблемы. Прошло 160 лет, и поэма звучит как только что написанная. Чичиковы, Коробочки, Ноздревы, Плюшкины, Собакевичи — их стремления, чувства, поступки не кажутся нам отголосками прошлого. Современное и острое звучание эти персонажи обретают, когда мы смотрим все новые и новые спектакли и фильмы по этой бессмертной поэме.",лицемерие,1
"Знаковый роман, с которого официально отсчитывают само существование жанра \антиутопия Запрещенный в советский период, теперь он считается одним из классических произведений не только русской, но и мировой литературы ХХ века. Роман об \обществе равных, в котором человеческая личность сведена к \нумеру. В нем унифицировано все — одежда и квартиры, мысли и чувства. Нет ни семьи, ни прочных привязанностей Знаковый роман, с которого официально отсчитывают само существование жанра \антиутопия Запрещенный в советский период, теперь он считается одним из классических произведений не только русской, но и мировой литературы ХХ века. Роман об \обществе равных, в котором человеческая личность сведена к \нумеру. В нем унифицировано все — одежда и квартиры, мысли и чувства. Нет ни семьи, ни прочных привязанностей... Но можно ли вытравить из человека жажду свободы, пока он остается человеком? Но можно ли вытравить из человека жажду свободы, пока он остается человеком?",идеология,1
"В книге Ивана Шмелева «Лето Господне» глазами ребенка изображен старый московский быт, раскрывается мир русского человека, жизнь которого проникнута православным духом и согрета христианской верой. Смысл и красота православных праздников и обрядов переданы как живая традиция, формирующая духовный облик человека.",духовное_возрождение,0
"«Повести покойного Ивана Петровича Белкина» А.С. Пушкин написал болдинской осенью 1830 года, находясь на трехмесячном карантине. И, по собственному признанию, «он никогда еще так не писал» — «просто, коротко и ясно» и так плодотворно. По мнению самого поэта, нужно писать прозу, которая одновременно «требует мыслей и мыслей — без них блестящие выражения ни к чему не служат». Главный вопрос всех размышлений в «Повестях Белкина» был вопрос о счастье и судьбе. Абсолютно новаторский цикл позволил создать широкую картину русской жизни с высочайшей степенью человечности. Повесть «Дубровский» была задумана автором как роман эпохи пугачёвщины с героем-дворянином, перешедшим на сторону бунтовщиков. Работая над «Дубровским», Александр Пушкин задумал «Капитанскую дочку», а писал, когда работал над «Историей Пугачева». И Николай Гоголь назвал «Капитанскую дочку» «решительно лучшим русским произведеньем в повествовательном роде», в котором «выступили истинно русские характеры: простой комендант крепости, капитанша, поручик; сама крепость с единственной пушкой, бестолковщина времени и простое величие простых людей». В «Пиковой даме» А. Пушкин соединил признаки модных в то время повествований — светской и фантастической повестей и добился широкого признания. «Верхом искусства фантастического» позже назвал «Пиковую даму» Ф.М. Достоевский.",подвиг,0
"Талантливый тульский оружейник Никита Демидов получил в награду от самого Петра I уральские земли и заводы — так началась история богатейшей промышленной династии Демидовых, находчивых и предприимчивых, жестоких и требовательных, властных и самоотверженных хозяев Каменного Пояса. История этой семьи неразрывно соединилась с историей России. Произведения Евгения Федорова, посвященные Демидовым, любимы читателями за историческую достоверность и точность в деталях, выразительную речь персонажей, захватывающий сюжет. В настоящем издании публикуются два первых романа трилогии «Каменный Пояс»: «Демидовы» и «Наследники».",экзистенциальный_кризис,0
"В сборник, озаглавленный Гоголем \Миргород, вошли четыре повести, основанные на украинском фольклоре. \Старосветские помещики – печальная история любви двух супругов, любви, за границами которой герои уже не видят окружающего мира. \Тарас Бульба – ни в чем не схожая с предыдущей повесть о жизни запорожских казаков, где царят боевой дух, жажда воинской славы и любовь, которая оказывается сильнее долга перед родиной и перед отцом. Третья повесть – \Вий – леденящий душу рассказ о темных силах преисподней, в жуткой схватке с которыми, поддавшись страху, погибает семинарист. И, наконец, \Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем – юмористическая зарисовка из жизни городка Миргорода, кажется, никогда не стареющая история о том, как вдруг на ровном месте ссорятся закадычные друзья. Яркий пример того, как пустяковая размолвка может обернуться не просто враждой и судебным разбирательством, но чуть ли не смыслом всей жизни.",бунт_против_судьбы,0
"\Машенька (1926) — первый и во многом автобиографический роман, написанный Владимиром Набоковым в Берлине и посвященный русскому прошлому писателя. Молодой эмигрант Лев Ганин в немецком пансионе заново переживает историю своей первой любви, оборванную революцией. Сила творческой памяти позволяет ему преодолеть физическую разлуку с Машенькой (прототипом которой стала возлюбленная Набокова Валентина Шульгина), воссозданные его воображением картины дореволюционной России оказываются значительнее и ярче окружающих его декораций настоящего.",человек_и_природа,0
"«Крейцерова соната» — самое скандальное произведение Толстого. На страницах повести писатель излагает свои поздние взгляды на взаимоотношения полов. «Смерть Ивана Ильича» — одна из вершин мировой психологической прозы: хроника смертельной болезни, где умирающий отказывается принять смерть и приходит к пониманию того, чем была его жизнь. «Хаджи-Мурат» — размышления позднего Толстого о жизнестойкости и о развращающей силе власти. Последняя большая художественная вещь и в каком-то смысле завещание Толстого.",жестокость,0
"Столько литературных героев за последние два века потеряли актуальность и были отправлены в книжное небытие, а «лишний человек» Печорин, холодный циник, не верящий в высокие идеалы, живущий «не сердцем, а головою», эгоистичный прожигатель жизни, бросающий женщин и бесстрашно испытывающий судьбу, до сих пор живее всех живых. Это личность противоречивая и неоднозначная, ведь Лермонтов написал первый в русской прозе психологический роман. Попробуйте разобраться беспристрастно — согласны ли вы с критиками, писавшими, что такой развратный герой — оскорбление для России, или вы на стороне Белинского, уверенного, что Лермонтов показал трагедию образованных людей того (а может быть, и нашего?) времени?",фольклор,0
"Столько литературных героев за последние два века потеряли актуальность и были отправлены в книжное небытие, а «лишний человек» Печорин, холодный циник, не верящий в высокие идеалы, живущий «не сердцем, а головою», эгоистичный прожигатель жизни, бросающий женщин и бесстрашно испытывающий судьбу, до сих пор живее всех живых. Это личность противоречивая и неоднозначная, ведь Лермонтов написал первый в русской прозе психологический роман. Попробуйте разобраться беспристрастно — согласны ли вы с критиками, писавшими, что такой развратный герой — оскорбление для России, или вы на стороне Белинского, уверенного, что Лермонтов показал трагедию образованных людей того (а может быть, и нашего?) времени?",общественные_пороки,0
"«Тихий Дон» – масштабное эпическое полотно, повествующее о донском казачестве в самый противоречивый, переломный период истории нашей страны – кровавой Первой мировой и братоубийственной Гражданской войны, когда, по словам самого Шолохова, «в смертной драке брат идет на брата, сын – на отца». Что же происходило в душах людей в это смутное время, как получилось, что самые родные, близкие люди вдруг стали по разные стороны баррикад и превратились в смертельных врагов? По глубине осмысления действительности, удивительной точности в описании характеров этому произведению, пожалуй, нет равных. Книга, о которой говорят и спорят по сей день!",нигилизм,0
"Преступление и наказание (1866) — одно из самых значительных произведений в истории мировой литературы. Это и глубокий философский роман, и тонкая психологическая драма, и захватывающий детектив, и величественная картина мрачного города, в недрах которого герои грешат и ищут прощения, жертвуют собой и отрекаются от себя ради ближних и находят успокоение в смирении, покаянии, вере. Главный герой романа Родион Раскольников решается на убийство, чтобы доказать себе и миру, что он не тварь дрожащая, а право имеет. Главным предметом исследования писателя становится процесс превращения добропорядочного, умного и доброго юноши в убийцу, а также то, как совершивший преступление Раскольников может искупить свою вину.",жестокость_войны,0
"Роман-исповедь о поиске нравственных ориентиров и конфликте поколений. 19-летний Аркадий Долгорукий стремится обрести через богатство свободу и власть, оказываясь втянутым в сложные семейные и любовные противоречия.",страсть,1
