annotation,concept,label
"Персонаж продолжает выполнять обещание, даже когда это становится тяжёлым.",верность,0
"Роман, ставший своеобразным символом творчества Франца Кафки. Интересно, что Кафка не оставил никаких подсказок, по которым можно было бы как-то воссоздать фабулу романа. Главы не были пронумерованы и содержались в отдельных конвертах. Йозеф К. — рациональный герой среди абсурдного общества. Его ничем не примечательная, даже в чем-то банальная жизнь шла своим чередом, пока его не известили о том, что против него начат процесс... Абсурдность происходящего с К. пугает именно своей приземленной, холодной обыденностью, повседневностью и даже странной логичностью творящегося с героем ужаса, противостоять которому он не в силах. Где судья, которого он ни разу не видел? Где высокий суд, куда он так и не попал? Он виноват просто потому, что каждый человек в этой жизни может быть в чем-то виноват...",легенда,0
Герой ощущает вину за прошлое.,жертвы_войны,0
Персонаж испытывает обиду.,трусость,0
"Повесть «Раковый корпус» основана на личном опыте автора и изображает пациентов онкологического диспансера, в судьбах которых отражено состояние советского общества, пораженного беззаконием власти.",страдание,1
"Со школьной скамьи мы знаем автора как критика, бичующего пороки общества. Но в этой книге собраны рассказы будто другого Чехова, рисующего жизнь человека в юмористических красках, способного увидеть смешное в обыденном, глупом или невежественном.",война,0
"Истории, основанные на личном опыте Булгакова, — о внутренней борьбе и сострадании к ближнему, о чувстве долга и о надежде даже в самых отчаянных обстоятельствах. Молодого врача, только что окончившего университет, направляют работать в больницу в глуши. Там, один на один со сложными случаями, дремучестью пациентов и тяжелым каждодневным трудом, ему предстоит борьба с собственными страхами и сомнениями. \Записки юного врача — гимн (и одновременно реквием) земской медицине, где герой балансирует между подвижничеством и отчаянием.",надежда,1
Герой нарушает доверие близких людей.,предательство,1
"Бессмертная классика русской литературы, вошедшая в обязательную школьную программу. Мечта разбогатеть обосновалась в арсенале человеческих желаний едва ли не раньше, чем появились сами деньги. Бывший чиновник Чичиков не чужд этой страсти, поэтому отправляется по городам и весям с нетривиальной идеей приобрести у помещиков умерших крестьян, которые по ревизским спискам еще значились как живые. За них можно получить хороший денежный кредит и наконец обрести высокий социальный статус. Чичиков, конечно, мошенник, но на фоне тех личностей, с которыми сводит его кривая мечты, кинематографично и зубодробительно смешно выписанных Гоголем, он вызывает несомненные симпатии. Нравственное выздоровление своего героя автор планировал во втором и третьем томах «Мертвых душ». К сожалению, эти страницы не написаны. Или к счастью, ведь теперь мы сами можем всё додумать. История с открытым финалом — это вечный привет от классика каждому новому поколению.",эгоизм,0
История раскрывает внутреннюю борьбу героя.,жертвы_войны,0
Персонаж стремится искупить свои грехи.,грех,0
Герой остаётся безучастным к чужим проблемам.,жертва,0
История показывает лицемерие общества.,лицемерие_личности,0
"Герой отказывается от выгодного решения, потому что не может поступить против своих убеждений.",героизм,0
"Повесть «Раковый корпус» основана на личном опыте автора и изображает пациентов онкологического диспансера, в судьбах которых отражено состояние советского общества, пораженного беззаконием власти.",романтизм,0
Персонаж скрывает истинное лицо за внешним образом.,психологическая_изоляция,0
"«Горе от ума» — одна из первых русских комедий, «разодранных» на пословицы и поговорки, которыми до сих пор украшена речь всякого мало-мальски начитанного человека. «Горе от ума» — комедия, давшая русской литературе первого «лишнего человека». Эта комедия с трагическим, в сущности, финалом — поистине «русская комедия» с отчетливым горьким осадком и бесконечным сочувствием герою. Издание снабжено комментарием, а также отрывками из статей А. С. Пушкина, И. А. Гончарова и А. Григорьева, посвященных комедии «Горе от ума», что, несомненно, поможет всем, кто изучает русскую словесность.",нигилизм,0
"«Бесы» (1871–1872 гг.) — наверное, самый пророческий роман Достоевского. Изначально задуманный как острополитическая вещь, основанная на впечатлениях писателя от «нечаевского процесса»: группу революционеров судили за убийство студента, решившего выйти из их кружка, — роман далеко перерос просто произведение на «злобу дня». На глазах у читателей разворачивается настоящая драма: в центре повествования — группа нигилистов во главе с Петром Верховенским, планирующая поднять смуту по всей России. У главного же героя романа Николая Ставрогина — своя тайна, свой страшный грех и своя большая беда — он совершенно опустошен, и жизнь уже не представляет для него никакого интереса. События в романе проносятся вихрем перед читателем, запутываются в какой-то чудовищный клубок и в результате разрешаются трагедией.",революционные_потрясения,0
Герой сталкивается с тиранией.,бунт_против_судьбы,0
История о духовном росте.,вера,0
"Персонаж испытывает сильное влечение, которое меняет его поведение.",любовь_и_страсть,1
Герой проявляет мягкость и сочувствие.,сострадание,0
"Антиутопия о генетически программируемом обществе потребления, где трагическая судьба Дикаря раскрывает конфликт личности и системы.",фольклор,0
Герой отстаивает свои убеждения.,жертва,0
"Пять совсем еще юных девушек-зенитчиц под руководством старшины вступают в неравный бой с отрядом немецких диверсантов. Об этом великом, однако не попавшем в сводки военных событий подвиге повесть «А зори здесь тихие…» – шедевр русской «военной прозы», одно из самых проникновенных и трагических произведений о Великой Отечественной войне. Действие повести «Завтра была война» происходит накануне Великой Отечественной войны. Это история о школьниках, их взрослении, первом нравственном выборе и противостоянии, история о выпускниках, которым совсем скоро предстоит взять в руки оружие и отправиться на фронт – защищать Родину.",война_и_личность,0
